Date,Open,High,Low,Close,Volume,AdjClose
2020-12-17,128.91,129.58,128.04,128.7,65084292.0,125.28
2020-12-18,128.93,129.1,126.12,126.66,95137509.0,123.3
2020-12-21,125.04,128.31,123.44,128.23,87399181.0,124.83
2020-12-22,131.59,134.41,129.65,131.88,139018417.0,128.38
2020-12-23,132.14,132.43,130.78,130.96,65524758.0,127.48
2020-12-24,131.33,133.46,131.1,131.97,45857271.0,128.47
2020-12-28,133.99,137.34,133.51,136.69,101045308.0,133.06
2020-12-29,138.07,138.79,134.34,134.87,100350209.0,131.29
2020-12-30,135.54,135.99,133.4,133.72,76992497.0,130.17
2020-12-31,134.04,134.74,131.72,132.69,74842982.0,129.17
2021-01-04,133.52,133.62,126.8,129.41,100655506.0,125.97
2021-01-05,128.88,131.74,128.43,131.01,72258461.0,127.53
2021-01-06,127.72,131.05,126.38,126.6,121591559.0,123.24
2021-01-07,128.4,131.63,127.86,130.92,84308570.0,127.44
2021-01-08,132.43,132.63,130.23,132.05,81404848.0,128.54
2021-01-11,129.16,130.17,128.5,128.98,72922367.0,125.56
2021-01-12,128.52,129.69,126.86,128.8,71925546.0,125.38
2021-01-13,128.69,131.45,128.49,130.89,69194324.0,127.42
2021-01-14,130.8,131.0,128.76,128.91,66726106.0,125.49
2021-01-15,128.68,130.23,127.0,127.14,77016212.0,123.76
2021-01-19,127.72,128.71,126.93,127.83,60967833.0,124.44
2021-01-20,128.59,132.49,128.55,132.03,76874934.0,128.52
2021-01-21,133.84,139.67,133.59,136.87,91698793.0,133.24
2021-01-22,136.3,139.85,135.02,139.07,89529879.0,135.38
2021-01-25,143.03,145.09,136.54,142.92,119754818.0,139.13
2021-01-26,143.6,144.3,141.37,143.16,75027856.0,139.36
2021-01-27,143.42,144.3,140.41,142.06,94863467.0,138.29
2021-01-28,139.47,141.99,136.7,137.09,107554702.0,133.45
2021-01-29,135.9,136.74,130.21,131.96,133891871.0,128.46
2021-02-01,133.69,135.38,131.0,134.14,83025656.0,130.58
2021-02-02,135.62,136.31,134.61,134.99,60137230.0,131.41
2021-02-03,135.52,135.77,133.61,133.94,60981232.0,130.38
2021-02-04,136.35,137.4,134.59,137.39,60933991.0,133.74
2021-02-05,137.32,137.42,135.86,136.76,56733472.0,133.33
2021-02-08,135.98,136.96,134.93,136.91,52877360.0,133.47
2021-02-09,136.71,137.88,135.85,136.01,51214603.0,132.6
2021-02-10,136.47,136.99,134.4,135.39,51383478.0,131.99
2021-02-11,135.92,136.39,133.77,135.13,47751183.0,131.74
2021-02-12,134.28,135.53,133.69,135.37,45472543.0,131.97
2021-02-16,135.47,136.01,132.79,133.19,59574139.0,129.85
2021-02-17,131.23,132.22,129.47,130.84,73758951.0,127.56
2021-02-18,129.24,130.0,127.42,129.71,72928325.0,126.46
2021-02-19,130.19,130.71,128.8,129.87,65274261.0,126.61
2021-02-22,128.05,129.72,125.6,126.0,78446659.0,122.84
2021-02-23,123.76,126.71,118.39,125.86,122863543.0,122.7
2021-02-24,124.95,125.56,122.23,125.35,86286885.0,122.2
2021-02-25,124.64,126.46,120.54,120.99,112655073.0,117.95
2021-02-26,122.59,124.85,121.25,121.26,113031548.0,118.22
2021-03-01,123.77,127.93,122.79,127.79,87356206.0,124.58
2021-03-02,128.4,128.72,125.01,125.12,76838973.0,121.98
2021-03-03,124.77,125.71,121.84,122.06,82452531.0,119.0
2021-03-04,121.73,123.6,118.62,120.13,130749900.0,117.12
2021-03-05,121.0,121.94,117.57,121.42,116900282.0,118.37
2021-03-08,120.97,121.0,116.21,116.36,115189494.0,113.44
2021-03-09,119.01,122.05,118.79,121.09,95005196.0,118.05
2021-03-10,121.54,122.17,119.45,119.98,86691617.0,116.97
2021-03-11,122.31,123.21,121.26,121.96,78011789.0,118.9
2021-03-12,120.39,121.17,119.16,121.03,69619676.0,117.99
2021-03-15,121.39,124.0,120.42,123.99,67742817.0,120.88
2021-03-16,125.71,127.22,124.71,125.57,92674023.0,122.42
2021-03-17,124.07,125.86,122.33,124.76,88015235.0,121.63
2021-03-18,122.85,123.18,120.32,120.53,90611184.0,117.51
2021-03-19,119.9,121.43,119.67,119.99,96269297.0,116.98
2021-03-22,120.31,123.87,120.26,123.39,77966029.0,120.29
2021-03-23,123.31,124.24,122.14,122.54,72299488.0,119.47
2021-03-24,122.79,122.9,120.06,120.09,68564879.0,117.08
2021-03-25,119.59,121.66,119.0,120.59,77575511.0,117.56
2021-03-26,120.39,121.48,118.92,121.21,73404796.0,118.17
2021-03-29,121.65,122.58,120.72,121.39,61125437.0,118.34
